# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 11  of event 'cpu_core/mem-loads-aux/'
# Total weight : 11
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     4.76%             1  5             L1 hit                                   [.] g_main_context_check        libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05db0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] hrtimer_interrupt           [kernel.kallsyms]        [k] 0xffffd3a84007efc8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] pick_eevdf                  [kernel.kallsyms]        [k] 0xffffd3a84b233ac8  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [.] pthread_mutex_lock          libc.so.6                [.] 0x00007ffef8c05d60  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [.] qemu_clock_get_ns           qemu-system-x86_64       [.] 0x00007ffef8c05d50  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [k] reweight_entity             [kernel.kallsyms]        [k] 0xffffd3a8401abd48  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [.] 0x00000000000599b4          libglib-2.0.so.0.8400.4  [.] 0x000055eb479ed6c8  [heap]             None          L1 or L2 hit            No       N/A        0                    0                   
     4.76%             1  5             L1 hit                                   [.] 0x00000000000951f7          libglib-2.0.so.0.8400.4  [.] 0x00007ffef8c05bf0  [stack]            None          L1 or L2 hit            No       N/A        0                    0                   


#
# (Tip: Skip collecting build-id when recording: perf record -B)
#
