# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9  of event 'cpu_core/mem-loads-aux/'
# Total weight : 9
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                         Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .............................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    77.78%             7  0             N/A                                      [k] native_write_msr           [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    11.11%             1  0             N/A                                      [k] ip_rcv_finish_core.isra.0  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    11.11%             1  0             N/A                                      [k] nft_do_chain               [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 86  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 4519
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                 Shared Object            Data Symbol                                          Data Object              Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .....................................  .......................  ...................................................  .......................  ............  ......................  ......  ..........  ...................  ....................
#
     0.11%             1  5             L1 hit                                   [k] select_estimate_accuracy           [kernel.kallsyms]        [k] 0xffffd3a84d42f830                               [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       35                   0                   
     0.11%             1  5             L1 hit                                   [k] tcp_poll                           [kernel.kallsyms]        [k] 0xffffd3a84d42f6a4                               [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        34                   0                   
     0.11%             1  5             L1 hit                                   [k] update_deadline                    [kernel.kallsyms]        [k] 0xffff8c3bc401a470                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        62                   0                   
     0.11%             1  5             L1 hit                                   [k] update_deadline                    [kernel.kallsyms]        [k] 0xffffd3a84007ee38                               [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        55                   0                   
     0.11%             1  5             L1 hit                                   [.] 0x000000000005a6f3                 libglib-2.0.so.0.8400.4  [.] 0x000055eb46682fd8                               [heap]                   None          L1 or L2 hit            Yes      N/A        47                   0                   
     0.11%             1  5             L1 hit                                   [.] 0x000000000005a6e1                 libglib-2.0.so.0.8400.4  [.] 0x000055eb466878f8                               [heap]                   None          L1 or L2 hit            No       N/A        35                   0                   
     0.11%             1  5             L1 hit                                   [.] 0x000000000005c2f7                 libglib-2.0.so.0.8400.4  [.] 0x000055eb4668790c                               [heap]                   None          L1 or L2 hit            No       Data Addr  65                   0                   
     0.11%             1  5             L2 hit                                   [k] native_irq_return_iret             [kernel.kallsyms]        [k] 0xfffffe1fb61a8010                               [unknown]                None          L1 or L2 hit            No       N/A        33                   0                   


