# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 18  of event 'cpu_core/mem-loads-aux/'
# Total weight : 18
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    94.44%            17  0             N/A                                      [k] native_write_msr        [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     5.56%             1  0             N/A                                      [k] ct_kernel_enter.isra.0  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 86  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 6927
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                    Shared Object            Data Symbol                             Data Object         Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ........................................  .......................  ......................................  ..................  ............  ......................  ......  ..........  ...................  ....................
#
     0.07%             1  5             L1 hit                                   [.] g_mutex_lock                          libglib-2.0.so.0.8400.4  [.] 0x000055eb46687d80                  [heap]              None          L1 or L2 hit            Yes      N/A        62                   0                   
     0.07%             1  5             L1 hit                                   [.] g_mutex_lock                          libglib-2.0.so.0.8400.4  [.] 0x000055eb46687d80                  [heap]              None          L1 or L2 hit            Yes      N/A        43                   0                   
     0.07%             1  5             L1 hit                                   [.] g_mutex_unlock                        libglib-2.0.so.0.8400.4  [.] 0x000055eb46687d80                  [heap]              None          L1 or L2 hit            Yes      N/A        75                   0                   
     0.07%             1  5             L1 hit                                   [.] g_mutex_unlock                        libglib-2.0.so.0.8400.4  [.] 0x000055eb46687d80                  [heap]              None          L1 or L2 hit            Yes      N/A        43                   0                   
     0.07%             1  5             L1 hit                                   [.] g_source_ref                          libglib-2.0.so.0.8400.4  [.] 0x000055eb46688bb8                  [heap]              None          L1 or L2 hit            Yes      N/A        42                   0                   
     0.07%             1  5             L1 hit                                   [.] g_source_ref                          libglib-2.0.so.0.8400.4  [.] 0x000055eb4765b3a8                  [heap]              None          L1 or L2 hit            Yes      N/A        32                   0                   
     0.07%             1  5             L1 hit                                   [k] ldsem_up_read                         [kernel.kallsyms]        [k] 0xffff8c3c0532f030                  [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        52                   0                   
     0.07%             1  5             L1 hit                                   [k] psi_group_change                      [kernel.kallsyms]        [k] 0xffffd3a8401abd68                  [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       365                  0                   
     0.07%             1  5             L1 hit                                   [k] psi_group_change                      [kernel.kallsyms]        [k] 0xffffd3a8401abd70                  [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        683                  0                   
     0.07%             1  5             L1 hit                                   [k] psi_group_change                      [kernel.kallsyms]        [k] 0xffffd3a8401abd70                  [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       57                   0                   
