# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9  of event 'cpu_core/mem-loads-aux/'
# Total weight : 9
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object      Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
    77.78%             7  0             N/A                                      [k] native_write_msr        [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
    22.22%             2  0             N/A                                      [k] ct_kernel_enter.isra.0  [kernel.kallsyms]  [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   


# Samples: 102  of event 'cpu_core/mem-loads,ldlat=30/'
# Total weight : 5277
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                     Shared Object            Data Symbol                              Data Object         Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  .........................................  .......................  .......................................  ..................  ............  ......................  ......  ..........  ...................  ....................
#
     0.09%             1  5             L1 hit                                   [k] kvm_pic_set_irq                        [kernel.kallsyms]        [k] 0xffff8c3bc1898a78                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        205                  0                   
     0.09%             1  5             L1 hit                                   [k] mutex_lock_killable                    [kernel.kallsyms]        [k] 0xffff8c3c92d78048                   [kernel.kallsyms]   None          L1 or L2 hit            Yes      N/A        61                   0                   
     0.09%             1  5             L1 hit                                   [.] notifier_list_notify                   qemu-system-x86_64       [.] 0x000055eb465e5450                   [heap]              None          L1 or L2 hit            No       N/A        47                   0                   
     0.09%             1  5             L1 hit                                   [k] psi_group_change                       [kernel.kallsyms]        [k] 0xffffd3a8401abd88                   [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       166                  0                   
     0.09%             1  5             L1 hit                                   [k] psi_group_change                       [kernel.kallsyms]        [k] 0xffffd3a84d42f508                   [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       220                  0                   
     0.09%             1  5             L1 hit                                   [k] psi_group_change                       [kernel.kallsyms]        [k] 0xfffff3a83f923348                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        34                   0                   
     0.09%             1  5             L1 hit                                   [.] pthread_mutex_lock                     libc.so.6                [.] 0x000055eb46686448                   [heap]              None          L1 or L2 hit            Yes      N/A        39                   0                   
     0.09%             1  5             L1 hit                                   [.] qemu_clock_get_ns                      qemu-system-x86_64       [.] 0x00007ffef8c05d38                   [stack]             None          L1 or L2 hit            No       Addr       34                   0                   
     0.09%             1  5             L1 hit                                   [k] tcp_poll                               [kernel.kallsyms]        [k] 0xffffd3a84d42f7e8                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        244                  0                   
     0.09%             1  5             L1 hit                                   [k] tick_check_oneshot_broadcast_this_cpu  [kernel.kallsyms]        [k] 0xffff8c3bc004f850                   [kernel.kallsyms]   None          L2 miss                 No       N/A        62                   0                   
     0.09%             1  5             L1 hit                                   [k] update_curr                            [kernel.kallsyms]        [k] 0xffffd3a8401abd40                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        330                  0                   
     0.09%             1  5             L1 hit                                   [k] update_curr_se                         [kernel.kallsyms]        [k] 0xffffd3a84d42f610                   [kernel.kallsyms]   None          L1 or L2 hit            No       N/A        33                   0                   
     0.09%             1  5             L1 hit                                   [k] update_deadline                        [kernel.kallsyms]        [k] 0xffff8c3bd4ee9e70                   [kernel.kallsyms]   None          L1 or L2 hit            No       Addr       48                   0                   
     0.09%             1  5             L1 hit                                   [.] 0x000000000009776a                     libc.so.6                [.] 0x000055eb46686448                   [heap]              None          L1 or L2 hit            Yes      Addr       47                   0                   
     0.09%             1  5             L1 hit                                   [.] 0x0000000000b165c3                     qemu-system-x86_64       [.] 0x000055eb4668306c                   [heap]              None          L1 or L2 hit            Yes      N/A        61                   0                   
     0.09%             1  5             L1 hit                                   [.] 0x0000000000b1816a                     qemu-system-x86_64       [.] 0x00007ffef8c05cc8                   [stack]             None          L1 or L2 hit            Yes      N/A        59                   0                   


# Samples: 98  of event 'cpu_core/mem-stores/P'
# Total weight : 487
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                              Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..................................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     1.23%             1  6             L1 hit                                   [k] do_sys_poll                     [kernel.kallsyms]        [k] 0xffffd3a84d42fbd0  [kernel.kallsyms]  None          L1 or L2 hit            No       N/A        0                    0                   
