# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12  of event 'cpu_core/mem-loads-aux/'
# Total weight : 12
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                      Shared Object            Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ..........................  .......................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     0.44%             1  81            L3 hit                                   [k] psi_task_switch                          [kernel.kallsyms]        [k] 0xffff8c3bd1876000                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        90                   0                   
     0.44%             1  81            L3 hit                                   [k] update_curr                              [kernel.kallsyms]        [k] 0xffff8c3bfbe2f164                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        95                   0                   
     0.44%             1  81            L3 hit                                   [k] vcpu_run                                 [kernel.kallsyms]        [k] 0xffff8c3f0f320840                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        85                   0                   
     0.43%             1  80            L3 hit                                   [k] update_process_times                     [kernel.kallsyms]        [k] 0xffff8c3f0f323958                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        96                   0                   
     0.42%             1  78            LFB/MAB hit                              [k] _raw_spin_lock                           [kernel.kallsyms]        [k] 0xffff8c3bc1898a00                             [kernel.kallsyms]        None          L1 or L2 hit            Yes      N/A        87                   0                   
     0.42%             1  78            LFB/MAB hit                              [k] avg_vruntime                             [kernel.kallsyms]        [k] 0xffff8c3f0f335f68                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        81                   0                   
     0.41%             1  77            LFB/MAB hit                              [k] avg_vruntime                             [kernel.kallsyms]        [k] 0xffff8c3bd4ee8a38                             [kernel.kallsyms]        None          L1 or L2 hit            No       Addr       86                   0                   
     0.41%             1  77            L3 hit                                   [k] next_signal                              [kernel.kallsyms]        [k] 0xffff8c3bc5e73a80                             [kernel.kallsyms]        None          L2 miss                 No       N/A        175                  0                   
     0.40%             1  75            L3 hit                                   [k] hrtimer_active                           [kernel.kallsyms]        [k] 0xffff8c3f0f336b50                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        77                   0                   
     0.40%             1  75            L3 hit                                   [k] rw_verify_area                           [kernel.kallsyms]        [k] 0xffff8c3bc1db7bb8                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        78                   0                   
     0.40%             1  74            L3 hit                                   [k] perf_mux_hrtimer_handler                 [kernel.kallsyms]        [k] 0xffff8c3bc0bfd0b0                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        83                   0                   
     0.40%             1  74            L3 hit                                   [k] sched_tick                               [kernel.kallsyms]        [k] fair_sched_class+0x88                          [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        76                   0                   
     0.39%             1  73            LFB/MAB hit                              [k] __update_load_avg_se                     [kernel.kallsyms]        [k] 0xffff8c3bc790f050                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        75                   0                   
     0.39%             1  73            L3 hit                                   [k] psi_group_change                         [kernel.kallsyms]        [k] 0xfffff3a83f3053c8                             [kernel.kallsyms]        None          L2 miss                 No       N/A        424                  0                   
     0.39%             1  72            LFB/MAB hit                              [k] record_times                             [kernel.kallsyms]        [k] 0xfffff3a83f94f5d0                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        83                   0                   
     0.39%             1  72            L3 hit                                   [k] run_posix_cpu_timers                     [kernel.kallsyms]        [k] 0xffff8c3cc7d75838                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        74                   0                   
     0.38%             1  71            LFB/MAB hit                              [k] __radix_tree_lookup                      [kernel.kallsyms]        [k] worker_pool_idr+0x8                            [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        73                   0                   
     0.38%             1  71            L3 hit                                   [k] fdget                                    [kernel.kallsyms]        [k] 0xffff8c3c3908eb40                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        73                   0                   
     0.38%             1  71            L3 hit                                   [k] n_tty_poll                               [kernel.kallsyms]        [k] 0xffffd3a8466cd260                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        87                   0                   
     0.38%             1  70            L3 hit                                   [k] ktime_get                                [kernel.kallsyms]        [k] clocksource_tsc+0x0                            [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        79                   0                   
     0.38%             1  70            L3 hit                                   [k] update_curr                              [kernel.kallsyms]        [k] 0xffff8c3bc401a338                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        81                   0                   
     0.37%             1  68            L3 hit                                   [k] __hrtimer_init                           [kernel.kallsyms]        [k] kallsyms_seqs_of_names+0x177af0                [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        70                   0                   
     0.36%             1  67            LFB/MAB hit                              [k] kvm_load_host_xsave_state                [kernel.kallsyms]        [k] kvm_host+0x18                                  [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        76                   0                   
     0.36%             1  67            L3 hit                                   [k] __radix_tree_lookup                      [kernel.kallsyms]        [k] 0xffff8c3bc0401b60                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        76                   0                   
     0.36%             1  67            L3 hit                                   [k] psi_group_change                         [kernel.kallsyms]        [k] 0xffff8c3bd1876280                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        76                   0                   
     0.36%             1  67            L3 hit                                   [k] sched_tick                               [kernel.kallsyms]        [k] fair_sched_class+0x88                          [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        69                   0                   
     0.36%             1  67            L3 hit                                   [k] update_curr                              [kernel.kallsyms]        [k] 0xffff8c3f0f33687c                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        71                   0                   
     0.36%             1  66            LFB/MAB hit                              [k] __schedule                               [kernel.kallsyms]        [k] 0xffff8c3f0f335ec4                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        69                   0                   
     0.36%             1  66            LFB/MAB hit                              [k] kvm_lapic_find_highest_irr               [kernel.kallsyms]        [k] 0xffff8c3c39154210                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        70                   0                   
     0.36%             1  66            LFB/MAB hit                              [k] kvm_lapic_find_highest_irr               [kernel.kallsyms]        [k] 0xffff8c3c39154250                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        69                   0                   
     0.36%             1  66            LFB/MAB hit                              [k] tick_nohz_handler                        [kernel.kallsyms]        [k] jiffies_64+0x0                                 [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        68                   0                   
     0.36%             1  66            LFB/MAB hit                              [.] 0x0000000000b187e5                       qemu-system-x86_64       [.] 0x000055eb46686768                             [heap]                   None          L1 or L2 hit            Yes      N/A        68                   0                   
     0.36%             1  66            L3 hit                                   [k] housekeeping_test_cpu                    [kernel.kallsyms]        [k] housekeeping+0x48                              [kernel.kallsyms]        None          L2 miss                 No       N/A        146                  0                   
     0.36%             1  66            L3 hit                                   [k] tick_irq_enter                           [kernel.kallsyms]        [k] 0xffff8c3f0f326400                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        75                   0                   
     0.36%             1  66            L3 hit                                   [k] vmx_spec_ctrl_restore_host               [kernel.kallsyms]        [k] 0xffff8c3f0f320890                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        77                   0                   
     0.36%             1  66            L3 hit                                   [k] vmx_vcpu_run                             [kernel.kallsyms]        [k] 0xffff8c3c92d79ae0                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        68                   0                   
     0.35%             1  65            LFB/MAB hit                              [k] sched_can_stop_tick                      [kernel.kallsyms]        [k] 0xffff8c3f0f336790                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        67                   0                   
     0.35%             1  65            LFB/MAB hit                              [.] 0x00000000006cf520                       qemu-system-x86_64       [.] 0x000055eb47454b90                             [heap]                   None          L1 or L2 hit            No       N/A        67                   0                   
     0.35%             1  65            L3 hit                                   [.] g_private_get                            libglib-2.0.so.0.8400.4  [.] 0x00007f115cf3c460                             libglib-2.0.so.0.8400.4  None          L1 or L2 hit            No       N/A        67                   0                   
     0.35%             1  65            L3 hit                                   [.] object_dynamic_cast_assert               qemu-system-x86_64       [.] 0x000055eb466887b0                             [heap]                   None          L1 or L2 hit            No       N/A        67                   0                   
     0.34%             1  64            LFB/MAB hit                              [k] hrtimer_active                           [kernel.kallsyms]        [k] 0xffffd3a84d42f980                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        66                   0                   
     0.34%             1  64            LFB/MAB hit                              [k] intel_idle                               [kernel.kallsyms]        [k] 0xffff8c3bc0decd42                             [kernel.kallsyms]        None          L2 miss                 Yes      N/A        247                  0                   
     0.34%             1  64            LFB/MAB hit                              [k] psi_group_change                         [kernel.kallsyms]        [k] 0xfffff3a83f962d40                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        87                   0                   
     0.34%             1  64            LFB/MAB hit                              [.] 0x000000000005db99                       libglib-2.0.so.0.8400.4  [.] 0x000055eb46687f50                             [heap]                   None          L1 or L2 hit            No       N/A        67                   0                   
     0.34%             1  64            L3 hit                                   [.] bql_lock_impl                            qemu-system-x86_64       [.] bql_mutex_lock_func+0x0                        qemu-system-x86_64       None          L1 or L2 hit            No       N/A        73                   0                   
     0.34%             1  64            L3 hit                                   [.] 0x000000000005d8e0                       libglib-2.0.so.0.8400.4  [.] 0x00007f10c57834f0                             anon                     None          L1 or L2 hit            No       N/A        106                  0                   
     0.34%             1  63            LFB/MAB hit                              [k] __update_load_avg_se                     [kernel.kallsyms]        [k] 0xffff8c3bc790f0c0                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        65                   0                   
     0.34%             1  63            LFB/MAB hit                              [k] record_times                             [kernel.kallsyms]        [k] 0xfffff3a83f94f5d0                             [kernel.kallsyms]        None          L1 or L2 hit            No       N/A        163                  0                   
