# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 780  of event 'cpu_core/mem-loads-aux/'
# Total weight : 788
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                               Shared Object            Data Symbol             Data Object       Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ...................................  .......................  ......................  ................  ............  ......................  ......  ..........  ...................  ....................
#
     0.13%             1  0             N/A                                      [k] ct_kernel_exit_state             [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [.] g_hash_table_lookup              libglib-2.0.so.0.8400.4  [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [.] helper_crypto_aese               qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [k] mark_buffer_dirty                [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [.] slirp_pollfds_fill               libslirp.so.0.4.0        [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [.] tlb_set_page_full                qemu-system-aarch64      [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [k] tty_ldisc_ref_wait               [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [k] wake_up_q                        [kernel.kallsyms]        [k] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [.] 0x00007fcece3d504f               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [.] 0x00007fcece3fb78f               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [.] 0x00007fced211d726               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [.] 0x00007fced22116dd               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [.] 0x00007fced221d603               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [.] 0x00007fced222202f               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [.] 0x00007fced224b8e6               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [.] 0x00007fced224caec               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [.] 0x00007fced228e3de               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [.] 0x00007fced228e4ab               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [.] 0x00007fced23e62a4               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [.] 0x00007fced24344ce               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [.] 0x00007fced26faf6f               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [.] 0x00007fced41a4e46               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [.] 0x00007fced41ab1de               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
     0.13%             1  0             N/A                                      [.] 0x00007fced494b4e5               [JIT] tid 7297           [.] 0000000000000000    [unknown]         N/A           N/A                     N/A      N/A        0                    0                   
