# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 802  of event 'cpu_core/mem-loads-aux/'
# Total weight : 810
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                  Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ......................................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     0.25%             2  0             N/A                                      [.] 0x0000000000c6fca2                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.25%             2  0             N/A                                      [.] 0x0000000000c6ff58                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [k] __folio_start_writeback             [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [.] aio_wait_kick                       qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [k] call_cpuidle                        [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [.] curr_cflags                         qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [k] fq_ring_free_locked                 [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [.] helper_crypto_sha256h2              qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [.] helper_gvec_addp_b                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [.] helper_neon_narrow_u16              qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [.] object_ref                          qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [k] plist_add                           [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [.] ppoll                               libc.so.6                [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [.] pthread_cond_signal                 libc.so.6                [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [.] qemu_ram_block_from_host            qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [.] slirp_input                         libslirp.so.0.4.0        [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [k] wakeup_preempt                      [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [.] 0x00007fced21e4258                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [.] 0x00007fced21e44f7                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.12%             1  0             N/A                                      [.] 0x00007fced2211679                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
