# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cpu_core/mem-loads-aux/'
# Total weight : 4832
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                  Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ......................................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     0.02%             1  0             N/A                                      [k] __flush_work                        [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [k] __radix_tree_lookup                 [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [k] folio_clear_dirty_for_io            [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [k] fq_ring_free_locked                 [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] g_array_remove_range                libglib-2.0.so.0.8400.4  [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] helper_crypto_aese                  qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [k] ldsem_down_read                     [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] memcpy@plt                          libglib-2.0.so.0.8400.4  [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] object_dynamic_cast_assert          qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] pthread_mutex_lock                  libc.so.6                [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] qemu_mutex_lock_impl                qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] qemu_ram_addr_from_host_nofail      qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [k] switch_mm_irqs_off                  [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [k] wakeup_preempt                      [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] 0x00007fcece3d44c2                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] 0x00007fced215f7ee                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] 0x00007fced21cf57c                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] 0x00007fced21e41b3                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] 0x00007fced22116ab                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] 0x00007fced22116bc                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] 0x00007fced22116e1                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] 0x00007fced221d61f                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] 0x00007fced221d815                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] 0x00007fced2222003                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] 0x00007fced222201b                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] 0x00007fced2225f8f                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] 0x00007fced224cbb0                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] 0x00007fced22674ef                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] 0x00007fced227be36                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] 0x00007fced22a1140                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] 0x00007fced26faf1a                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] 0x00007fced4d2943c                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] 0x00007fced4d29444                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.02%             1  0             N/A                                      [.] 0x00007fced4d2982b                  [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
