# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 717  of event 'cpu_core/mem-loads-aux/'
# Total weight : 721
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                               Shared Object            Data Symbol             Data Object        Snoop         TLB access              Locked  Blocked     Local INSTR Latency  Local Retire Latency
# ........  ............  ............  .......................................  ...................................  .......................  ......................  .................  ............  ......................  ......  ..........  ...................  ....................
#
     0.14%             1  0             N/A                                      [k] call_cpuidle                     [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] g_array_append_vals              libglib-2.0.so.0.8400.4  [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] g_array_append_vals@plt          qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] g_hash_table_lookup              libglib-2.0.so.0.8400.4  [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] helper_neon_narrow_u16           qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] helper_simd_tblx                 qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [k] intel_idle                       [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] object_dynamic_cast_assert       qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] pthread_cond_broadcast           libc.so.6                [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] pthread_mutex_lock               libc.so.6                [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] slirp_pollfds_fill               libslirp.so.0.4.0        [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [k] switch_mm_irqs_off               [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] tlb_set_page_full                qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [k] tty_buffer_flush_work            [kernel.kallsyms]        [k] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] virtqueue_push                   qemu-system-aarch64      [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced21cf57c               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced21e4220               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced22116bc               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced221d637               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced224cabe               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced22674ef               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced227be26               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced227c332               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced228e454               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced22a0d14               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced22ff6f7               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced2377e77               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced2377f62               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced24c4329               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced26fabd4               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced3287457               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced328746c               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced39407cf               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced4d29444               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced4d29f20               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced520d696               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced7b09a9b               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced7b09dd4               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced7b0bdc2               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced7b0be54               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced7b0c5df               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced7b17a9e               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced7b18335               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced7b18412               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced7b18459               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fced7b18567               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fceda01ce0f               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
     0.14%             1  0             N/A                                      [.] 0x00007fcee2c96a43               [JIT] tid 7297           [.] 0000000000000000    [unknown]          N/A           N/A                     N/A      N/A        0                    0                   
